,Dataset,N,K,Rep,Model,maxgenomelen,maxcohortlen,X_bounds,valsize,mutprob,init_prop,gramfile,n_num_optimisations,prop_consts,Time,Rsq_train,Rsq_test,Size,N_vars_used,N_consts_used,Equation
32,659_sleuth_ex1714,47,7,1,Magpie,50,8,none,0.0,1.0,0.12,base_placeholders.bnf,3,0.75,174.37221479415894,0.8952582547788507,0.8745478764535637,34,2,4,((((((3.7052 + X[0]) / X[0]) + sqrt(X[5])) - 5.0003) / (sqrt(sqrt(sqrt(X[5]))) + -1.4040)) / 0.0009)
33,659_sleuth_ex1714,47,7,0,Magpie,50,8,none,0.25,1.0,0.12,base_placeholders.bnf,3,0.75,174.68846583366394,0.8698820403670375,0.853433089257839,23,3,3,(7498.0930 + ((-6358.6540 * X[5]) / ((X[2] + -102.1751) / sqrt(X[0]))))
34,659_sleuth_ex1714,47,7,0,Magpie,50,8,none,0.0,1.0,0.12,base_placeholders.bnf,3,0.75,190.09167957305908,0.9126969231011072,0.9156979840059848,46,4,5,((sqrt(sqrt(X[0])) * ((sqrt(X[5]) + (-4475.2170 - -4475.8838)) * (((X[4] + -243.4803) / (-36.7038 + (X[1] * sqrt(X[1])))) + 825.5525))) - -4475.2170)
35,659_sleuth_ex1714,47,7,0,Magpie,30,8,none,0.0,0.6,0.12,extended_placeholders.bnf,3,0.75,57.62213397026062,0.8895626495184904,0.8262142648145566,30,3,4,(0.0000 * ((18.9841 + X[5]) * ((exp(X[2]) + 682619016072894212905898115858432.0000) * (X[0] + abs(-206.7506)))))
36,659_sleuth_ex1714,47,7,2,Magpie,50,15,none,0.25,0.6,0.12,base_placeholders.bnf,3,0.75,102.68552112579346,0.5556892941474963,0.3961732932080209,7,1,1,(sqrt(X[5]) / 0.0002)
37,659_sleuth_ex1714,47,7,2,Magpie,50,8,none,0.0,0.6,0.12,base_placeholders.bnf,3,0.75,202.510537147522,0.9053384751864442,0.7940273508802024,49,4,5,(226.6014 * (34.3980 + (((X[1] * ((((226.6014 * X[5]) * (X[5] / 226.6014)) * 0.0146) + -0.5036)) - (-13.3683 / sqrt(sqrt(X[4])))) + sqrt(X[0]))))
38,659_sleuth_ex1714,47,7,0,Magpie,30,8,none,0.25,0.6,0.12,extended_placeholders.bnf,3,0.75,58.602657318115234,0.8439771406235348,0.8626928497709344,20,1,3,(((-109920255.3060 - exp(X[5])) * (-0.0000 * X[5])) + 7381.2807)
39,659_sleuth_ex1714,47,7,2,Magpie,30,8,none,0.25,0.6,0.12,extended_placeholders.bnf,3,0.75,58.5584831237793,0.5556892936722343,0.3961732943635775,8,1,1,(4179.6088 * sqrt(X[5]))
40,659_sleuth_ex1714,47,7,2,Magpie,30,8,none,0.25,1.0,0.12,extended_placeholders.bnf,3,0.75,43.85784029960632,0.5556892936401847,0.3961732944415033,8,1,1,(sqrt(X[5]) * 4179.6088)
41,659_sleuth_ex1714,47,7,1,Magpie,30,8,none,0.0,1.0,0.12,extended_placeholders.bnf,3,0.75,49.52087473869324,0.8866930074748242,0.7609158994925181,30,5,3,(((39835.0283 * X[5]) / ((126.2031 - X[2]) + X[4])) - (-9184.5572 + (X[3] * X[1])))
